region;Nom_lycee;IPS_voie_pro
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;93.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT AMBROISE CROIZAT LYCEE DES METIERS DES SERVICES EN MONTAGNE;95
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANDRE ARGOUGES;89
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANDRE ARGOUGES;89.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANDRE ARGOUGES;90.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANDRE ARGOUGES;91
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANNA DE NOAILLES;92.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANNA DE NOAILLES;93.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANNA DE NOAILLES;95.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ANNA DE NOAILLES;97.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO;82.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO;82.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO;82.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO;83
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO LYCEE DES METIERS;82.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO LYCEE DES METIERS;82.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO LYCEE DES METIERS;82.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARAGON PICASSO LYCEE DES METIERS;83
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME;85.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME;85.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME;86.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME;88.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME LYCEE DES METIERS DE LA PLASTURGIE ET DES OUTILLAGES;85.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME LYCEE DES METIERS DE LA PLASTURGIE ET DES OUTILLAGES;85.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME LYCEE DES METIERS DE LA PLASTURGIE ET DES OUTILLAGES;86.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ARBEZ CARME LYCEE DES METIERS DE LA PLASTURGIE ET DES OUTILLAGES;88.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ASTIER;88
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ASTIER;88.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ASTIER;88.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT ASTIER;89.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT BLAISE PASCAL;82.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT BLAISE PASCAL;84
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT BLAISE PASCAL;85.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT BLAISE PASCAL;86.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CAMUS SERMENAZ;83.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CAMUS SERMENAZ;85.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES ET ADRIEN DUPUY LYCEE DES METIERS DES SCIENCES ET TECHNIQUES;85.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES ET ADRIEN DUPUY LYCEE DES METIERS DES SCIENCES ET TECHNIQUES;89.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES ET ADRIEN DUPUY LYCEE DES METIERS DES SCIENCES ET TECHNIQUES;90.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES ET ADRIEN DUPUY LYCEE DES METIERS DES SCIENCES ET TECHNIQUES;91
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES GABRIEL PRAVAZ;86.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES GABRIEL PRAVAZ;88.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES GABRIEL PRAVAZ;90
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES GABRIEL PRAVAZ;90.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES PONCET LYCEE DES METIERS DE L INDUSTRIE;83
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES PONCET LYCEE DES METIERS DE L INDUSTRIE;84.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES PONCET LYCEE DES METIERS DE L INDUSTRIE;85.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLES PONCET LYCEE DES METIERS DE L INDUSTRIE;85.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLIE CHAPLIN;85.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLIE CHAPLIN;86.9
