UAI;Nom_lycee;taux_de_reussite
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;98
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;77
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;82
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;78
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;62
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;90
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;98
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;100
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;91
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;88
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;91
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;92
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;68
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;88
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;82
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;93
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;86
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;77
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;88
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;100
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;93
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;75
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;84
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;87
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;76
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;68
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;66
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;85
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;80
0140056K;LPO ALBERT SOREL;85
0140056K;LPO ALBERT SOREL;88
0140056K;LPO ALBERT SOREL;81
9760338N;LPO DE DEMBENI;76
9760338N;LPO DE DEMBENI;82
9760338N;LPO DE DEMBENI;92
9760338N;LPO DE DEMBENI;85
9760229V;LPO DE PETITE TERRE;81
9760229V;LPO DE PETITE TERRE;88
9760229V;LPO DE PETITE TERRE;87
9760229V;LPO DE PETITE TERRE;86
9760182U;LPO DE SADA;66
9760182U;LPO DE SADA;95
9760182U;LPO DE SADA;78
9760182U;LPO DE SADA;72
9760270P;LPO DU NORD;66
9760270P;LPO DU NORD;96
9760270P;LPO DU NORD;60
9760270P;LPO DU NORD;67
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;83
