0911632E;LYCEE GENERAL ET TECHNOLOGIQUE RENE CASSIN;;;;;
0911938M;LYCEE GENERAL ET TECHNOLOGIQUE CAMILLE CLAUDEL;;;;;
0920142E;LYCEE D ENSEIGNEMENT GENERAL LOUIS PASTEUR;;;;;
0920146J;LYCEE D ENSEIGNEMENT GENERAL MARIE CURIE;;;;;
0920158X;LYCEE PROFESSIONNEL LA TOURNELLE LYCEE DES METIERS DU NUMERIQUE DE L ELECTRICITE DE L ACCUEIL DU COMMERCE ET DE LA GESTION;;;;;
0920164D;LYCEE PROFESSIONNEL JEAN MONNET LYCEE DES METIERS DES CONSTRUCTIONS ET DE LA GESTION ADMINISTRATIVE;;;;;
0920170K;LYCEE POLYVALENT FLORIAN LYCEE DES METIERS DE LA BEAUTE ET DE LA VENTE;;;;;
0920894X;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT GABRIEL;;;;;
0920904H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARIE LA CROIX;;;;;
0920907L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SOPHIE BARAT;;;;;
0920928J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA SALLE PASSY BUZENVAL;;;;;
0921156G;LYCEE POLYVALENT GALILEE LYCEE DES METIERS DE LA CHIMIE DE LA PLASTURGIE ET DES BIOTECHNOLOGIES;;;;;
0921365J;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE MADELEINE DANIELOU;;;;;
921500,00 F;LYCEE PROFESSIONNEL VOILIN LYCEE DES METIERS DE L ACCUEIL DE LA VENTE ET DES SERVICES AUX ENTREPRISES;;;;;
0921555R;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES MONOD;;;;;
0921625S;LYCEE PROFESSIONNEL PAUL PAINLEVE LYCEE DES METIERS DU COMMERCE DE LA COMMUNICATION ET DE LA GESTION;;;;;
0921626T;LYCEE PROFESSIONNEL CLAUDE CHAPPE;;;;;
0922149L;LYCEE POLYVALENT AUFFRAY LYCEE DES METIERS DE L HOTELLERIE TOURISME DE LA SANTE ET DU SOCIAL;;;;;
0922276Z;LYCEE POLYVALENT SANTOS DUMONT LYCEE DES METIERS DE L HOTELLERIE ET DE LA GESTION DES ENTREPRISES;;;;;
0922427N;LYCEE POLYVALENT CLAUDE GARAMONT LYCEE DES METIERS DES INDUSTRIES ET ARTS GRAPHIQUES;;;;;
0922615T;LYCEE D ENSEIGNEMENT GENERAL LUCIE AUBRAC;;;;;
0922691A;ECOLE 2D DEGRE GENERAL PRIVEE HAUTEFEUILLE;;;;;
0930119Z;LYCEE POLYVALENT EUGENE DELACROIX;;;;;
0930129K;LYCEE PROFESSIONNEL MADELEINE VIONNET;;;;;
0930135S;LYCEE PROFESSIONNEL SIMONE WEIL;;;;;
0930136T;LYCEE PROFESSIONNEL CLAUDE NICOLAS LEDOUX LYCEE DES METIERS DE L ECO CONSTRUCTION ET DE LA DECORATION;;;;;
0930929E;LYCEE PROFESSIONNEL PRIVE JEANNE LA LORRAINE;;;;;
0931024H;LYCEE PROFESSIONNEL JEAN PIERRE TIMBAUD;;;;;
0932026X;LYCEE POLYVALENT ALFRED NOBEL;;;;;
0932047V;LYCEE POLYVALENT EVARISTE GALOIS LYCEE DES METIERS DE L AUDIOVISUEL;;;;;
0932110N;LYCEE GENERAL PRIVE CHNE OR;;;;;
0932117W;LYCEE POLYVALENT LUCIE AUBRAC;;;;;
0932229T;LYCEE POLYVALENT PAUL LE ROLLAND LYCEE DES METIERS DE LA CONCEPTION ET DE LA REALISATION DE SYSTEMES INDUSTRIELS;;;;;
0932721C;LYCEE PROFESSIONNEL PRIVE MARCEL LAMY;;;;;
