Année;UAI;Libellé;Région;Niveau formation;Taux interruption formation;Taux poursuite études;Taux emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois
cumul 2018-2019;9720468B;Lycée professionnel Raymond Néris - Lycée des métiers du nautisme et des activités de port;MARTINIQUE;CAP;34.0;61.0;4.0;15.0;12.0;19.0
cumul 2018-2019;9730094P;Lycée professionnel Jean-Marie Michotte - Lycée des métiers de la maintenance automobile et industrielle;GUYANE;CAP;53.0;25.0;8.0;15.0;22.0;23.0
cumul 2018-2019;9730421V;Lycée polyvalent Léopold Elfort;GUYANE;MC4;;;;;;
cumul 2018-2019;9740934X;Lycée professionnel Paul Langevin;LA REUNION;BAC PRO;34.0;59.0;16.0;27.0;34.0;39.0
cumul 2018-2019;9741185V;Lycée général et technologique le Verger;LA REUNION;MC4;12.0;25.0;;;;
cumul 2018-2019;9741206T;Lycée polyvalent de Bois d'Olive;LA REUNION;CAP;46.0;25.0;6.0;6.0;12.0;18.0
cumul 2018-2019;9741230U;Lycée général et technologique Vincendo;LA REUNION;BTS;46.0;31.0;38.0;41.0;41.0;44.0
cumul 2018-2019;0010001W;Lycée professionnel Alexandre Bérard - Lycée des métiers de l'énergie et de l'habitat;AUVERGNE-RHONE-ALPES;CAP;33.0;51.0;27.0;31.0;31.0;42.0
cumul 2018-2019;0011119L;Lycée polyvalent Arbez Carme - Lycée des métiers de la plasturgie et des outillages;AUVERGNE-RHONE-ALPES;BTS;30.0;27.0;61.0;62.0;72.0;69.0
cumul 2018-2019;0011194T;Lycée général et technologique de la Plaine de l'Ain;AUVERGNE-RHONE-ALPES;BTS;25.0;27.0;51.0;65.0;68.0;73.0
cumul 2018-2019;0011258M;Lycée professionnel privé Ensemble scolaire Lamartine;AUVERGNE-RHONE-ALPES;BAC PRO;;;;;;
cumul 2018-2019;0020052W;Lycée professionnel Colard Noël - Lycée des métiers du bâtiment et de l'hôtellerie;HAUTS-DE-FRANCE;CAP;45.0;55.0;19.0;24.0;23.0;29.0
cumul 2018-2019;0021476U;Lycée polyvalent Léonard De Vinci - Lycée des métiers des éco-sciences et des éco-technologies;HAUTS-DE-FRANCE;CAP;;;;;;
cumul 2018-2019;0021479X;Lycée professionnel Françoise Dolto - Lycée des métiers des services aux personnes et aux entreprises;HAUTS-DE-FRANCE;CAP;25.0;66.0;;;;
cumul 2018-2019;0021999M;Lycée professionnel privé Saint Joseph - Lycée des métiers de l'hôtellerie et de la restauration;HAUTS-DE-FRANCE;BAC PRO;43.0;54.0;;;;
cumul 2018-2019;0030038A;Lycée polyvalent Jean Monnet - Lycée des métiers du design et des arts verriers;AUVERGNE-RHONE-ALPES;BTS;33.0;44.0;63.0;65.0;63.0;71.0
cumul 2018-2019;0030061A;Lycée professionnel Albert Londres - Lycée des métiers du bois, des énergies et des services aux organisations;AUVERGNE-RHONE-ALPES;CAP;53.0;68.0;;;;
cumul 2018-2019;0030924N;Lycée professionnel Val d'Allier;AUVERGNE-RHONE-ALPES;BAC PRO;34.0;40.0;22.0;32.0;40.0;42.0
cumul 2018-2019;0030935A;Lycée Privé d'Enseignement Supérieur de Vichy;AUVERGNE-RHONE-ALPES;BTS;20.0;31.0;62.0;68.0;58.0;65.0
cumul 2018-2019;0050003B;Lycée polyvalent  d'Altitude;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;35.0;30.0;52.0;65.0;58.0;55.0
cumul 2018-2019;0050008G;Lycée professionnel Paul Héraud;PROVENCE-ALPES-COTE D'AZUR;CAP;37.0;23.0;44.0;59.0;59.0;68.0
cumul 2018-2019;0050027C;Lycée professionnel Pierre Mendès France;PROVENCE-ALPES-COTE D'AZUR;CAP;;;;;;
cumul 2018-2019;0060009C;Lycée général et technologique Auguste Renoir;PROVENCE-ALPES-COTE D'AZUR;BTS;32.0;21.0;64.0;76.0;56.0;68.0
cumul 2018-2019;0060015J;Lycée professionnel Les Coteaux - Lycée des métiers de la relation client, de la mode et du costume de spectacle;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;42.0;47.0;35.0;55.0;41.0;56.0
cumul 2018-2019;0060022S;Lycée professionnel Léon Chiris;PROVENCE-ALPES-COTE D'AZUR;BTS;;;;;;
cumul 2018-2019;0060040L;Lycée professionnel Pasteur;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;41.0;38.0;34.0;45.0;41.0;32.0
cumul 2018-2019;0060750H;Lycée polyvalent privé Institution Saint Joseph Carnolés;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;19.0;44.0;28.0;24.0;28.0;40.0
cumul 2018-2019;0070002P;Lycée professionnel Joseph et Etienne De Montgolfier;AUVERGNE-RHONE-ALPES;BAC PRO;32.0;41.0;30.0;49.0;42.0;53.0
cumul 2018-2019;0070016E;Lycée professionnel hôtelier - Lycée des  métiers de l'hôtellerie et de la restauration innovante;AUVERGNE-RHONE-ALPES;BAC PRO;56.0;39.0;41.0;66.0;56.0;73.0
cumul 2018-2019;0070114L;Lycée professionnel privé Notre Dame - Lycée des métiers du travail social et de la santé;AUVERGNE-RHONE-ALPES;BAC PRO;44.0;36.0;44.0;44.0;35.0;44.0
cumul 2018-2019;0080093H;Lycée professionnel privé Jeanne d'Arc;GRAND EST;BAC PRO;23.0;32.0;23.0;38.0;35.0;50.0
cumul 2018-2019;0090003E;Lycée professionnel Jean Durroux;OCCITANIE;CAP;47.0;55.0;;;;
cumul 2018-2019;0090013R;Lycée polyvalent Mirepoix;OCCITANIE;BTS;38.0;37.0;68.0;60.0;57.0;72.0
cumul 2018-2019;0100004A;Lycée professionnel Val Moré - Lycée des métiers de la maintenance des matériels agricoles et de travaux publics;GRAND EST;CAP;50.0;45.0;;;;
cumul 2018-2019;0100945Y;Lycée professionnel Gabriel Voisin Lycée des Métiers de l'automobile et de la relation client;GRAND EST;BAC PRO;;43.0;43.0;47.0;47.0;54.0
cumul 2018-2019;0130054N;Lycée professionnel Poinso-Chapuis;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;49.0;36.0;48.0;67.0;52.0;71.0
cumul 2018-2019;0130057S;Lycée professionnel René Caillié - Lycée des métiers du bâtiment, des travaux publics et de la topographie;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;60.0;50.0;39.0;43.0;52.0;52.0
