UAI;Nom_lycee;IPS_voie_pro
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;85,1
0440036A;LP LOUIS ANTOINE DE BOUGAINVILLE LYCEE DES METIERS DE L HOTELLERIE RESTAURATION LYCEE DES METIERS DE;86,4
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;83,1
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;83
0390021L;LP MONTCIEL LYCEE DES METIERS SANITAIRE ET SOCIAL;84,6
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;75,6
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;75,3
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;77,1
0250001R;LP NELSON MANDELA LYCEE DES METIERS ECO MATERIAUX ET ECO SERVICES;77,3
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;89
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;88,3
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;88,9
0250013D;LP PIERRE ADRIEN PARIS LYCEE DES METIERS DU BATIMENT ET DES TRAVAUX PUBLICS;90,3
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;68,3
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;70,2
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;73,3
0592610S;LP PIERRE JOSEPH LAURENT LYC MET MAINTENANCE INDUSTRIELLE LYC MET ELECTRONIQUE ET ELECTROTECHNIQUE L;74,1
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;96,2
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;99,2
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;100
0251592V;LP PR ST JOSEPH LYCEE DES METIERS DE LA CONCEPTION DE PRODUITS ET DE L AMENAGEMENT DE L HABITAT;98,5
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;92,8
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;92
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;94,7
0650886K;LP PRIVE SAINT PIERRE PRADEAU LA SEDE LYCEE DES METIERS DE L ELECTRODOMESTIQUE DE L ELECTRONIQUE DE ;91,8
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;75,7
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;75,5
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;78
0870058R;LP PUBLIC ANTOINE DE SAINT EXUPERY LYC MET DE LA LOGISTIQUE DU TRANSPORT ET DE L AUTOMOBILE;75,1
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;82,4
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;87,8
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;82,2
0230008J;LP PUBLIC DELPHINE GAY LYCEE DES METIERS DE LA COIFFURE DE L ESTHETIQUE ET DES SERVICES A LA PERSONN;84,1
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;82,2
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;81,8
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;80,7
0870748R;LP PUBLIC LE MAS JAMBOST LYC MET DES ARTS ET TECHNIQUES;84,3
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;88,4
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;88,7
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;93,1
0230019W;LP PUBLIC LYCEE DES METIERS DU BATIMENT;95,6
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;100
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;93,3
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;102,9
0190027B;LP PUBLIC MARCEL BARBANCEYS LYC MET MAINTENANCE ET APRES VENTE DES MAT AGRICOLES DE TP ET DE MANUTEN;99,3
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;78,9
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;78,4
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;81,5
0870730W;LP PUBLIC MARCEL PAGNOL LYC MET DU TERTIAIRE ADMINISTRATIF DE L ACCUEIL ET DU COMMERCE;79
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;70,2
