UAI;Nom_lycee;IPS_voie_pro
0730043A;LYCEE POLYVALENT RENE PERRIN LYCEE DES METIERS DES SCIENCES ET TECHNIQUES DE L INDUSTRIE;90,9
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES MEIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;78,7
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES MEIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;83,3
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES MEIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;81
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES MEIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;83,9
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES METIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;83,9
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES METIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;81
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES METIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;83,3
0500049G;LYCEE POLYVALENT ROBERT DE MORTAIN LYCEE DES METIERS DES CARRIERES DU SANITAIRE ET DU SOCIAL;78,7
0910620E;LYCEE POLYVALENT ROBERT DOISNEAU LYCEE DES METIERS DES SERVICES AUX ENTREPRISES ET DE L INDUSTRIE;82
0910620E;LYCEE POLYVALENT ROBERT DOISNEAU LYCEE DES METIERS DES SERVICES AUX ENTREPRISES ET DE L INDUSTRIE;82,8
0910620E;LYCEE POLYVALENT ROBERT DOISNEAU LYCEE DES METIERS DES SERVICES AUX ENTREPRISES ET DE L INDUSTRIE;81,3
0910620E;LYCEE POLYVALENT ROBERT DOISNEAU LYCEE DES METIERS DES SERVICES AUX ENTREPRISES ET DE L INDUSTRIE;82,4
0720017C;LYCEE POLYVALENT ROBERT GARNIER;82,4
0720017C;LYCEE POLYVALENT ROBERT GARNIER;81,7
0720017C;LYCEE POLYVALENT ROBERT GARNIER;84,4
0720017C;LYCEE POLYVALENT ROBERT GARNIER;82,5
0941974K;LYCEE POLYVALENT ROBERT SCHUMAN;91,6
0941974K;LYCEE POLYVALENT ROBERT SCHUMAN;91,4
0941974K;LYCEE POLYVALENT ROBERT SCHUMAN;86,4
0382099A;LYCEE POLYVALENT ROGER DESCHAUX LYCEE DES METIERS DE LA CONSTRUCTION DU BTP ET DE L ENERGETIQUE;89,7
0382099A;LYCEE POLYVALENT ROGER DESCHAUX LYCEE DES METIERS DE LA CONSTRUCTION DU BTP ET DE L ENERGETIQUE;88
0382099A;LYCEE POLYVALENT ROGER DESCHAUX LYCEE DES METIERS DE LA CONSTRUCTION DU BTP ET DE L ENERGETIQUE;89,5
0382099A;LYCEE POLYVALENT ROGER DESCHAUX LYCEE DES METIERS DE LA CONSTRUCTION DU BTP ET DE L ENERGETIQUE;91,8
9740002J;LYCEE POLYVALENT ROLAND GARROS;68,6
9740002J;LYCEE POLYVALENT ROLAND GARROS;67,9
9740002J;LYCEE POLYVALENT ROLAND GARROS;68
9740002J;LYCEE POLYVALENT ROLAND GARROS;67,3
0580008U;LYCEE POLYVALENT ROMAIN ROLLAND;76,6
0580008U;LYCEE POLYVALENT ROMAIN ROLLAND;84,6
0580008U;LYCEE POLYVALENT ROMAIN ROLLAND;83
0580008U;LYCEE POLYVALENT ROMAIN ROLLAND;80,8
0950667J;LYCEE POLYVALENT ROMAIN ROLLAND LYCEE DES METIERS DE L INDUSTRIE DU COMMERCE ET DES SERVICES AUX ENT;73,5
0950667J;LYCEE POLYVALENT ROMAIN ROLLAND LYCEE DES METIERS DE L INDUSTRIE DU COMMERCE ET DES SERVICES AUX ENT;78,1
0950667J;LYCEE POLYVALENT ROMAIN ROLLAND LYCEE DES METIERS DE L INDUSTRIE DU COMMERCE ET DES SERVICES AUX ENT;75,1
0950667J;LYCEE POLYVALENT ROMAIN ROLLAND LYCEE DES METIERS DE L INDUSTRIE DU COMMERCE ET DES SERVICES AUX ENT;73,4
0660856X;LYCEE POLYVALENT ROSA LUXEMBURG LYCEE DES METIERS DU NAUTISME;89,2
0660856X;LYCEE POLYVALENT ROSA LUXEMBURG LYCEE DES METIERS DU NAUTISME;90,4
0660856X;LYCEE POLYVALENT ROSA LUXEMBURG LYCEE DES METIERS DU NAUTISME;90
0660856X;LYCEE POLYVALENT ROSA LUXEMBURG LYCEE DES METIERS DU NAUTISME;91
0572027U;LYCEE POLYVALENT ROSA PARKS;85,7
0572027U;LYCEE POLYVALENT ROSA PARKS;85,5
0572027U;LYCEE POLYVALENT ROSA PARKS;86,3
0850027T;LYCEE POLYVALENT ROSA PARKS LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES DE LA CONSTRUCTION ET DE ;93,6
0850027T;LYCEE POLYVALENT ROSA PARKS LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES DE LA CONSTRUCTION ET DE ;89,7
0850027T;LYCEE POLYVALENT ROSA PARKS LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES DE LA CONSTRUCTION ET DE ;91,5
0850027T;LYCEE POLYVALENT ROSA PARKS LYCEE DES METIERS DES SCIENCES ET TECHNOLOGIES DE LA CONSTRUCTION ET DE ;93,4
831616,00 F;LYCEE POLYVALENT ROUVIERE;96,8
831616,00 F;LYCEE POLYVALENT ROUVIERE;101,1
831616,00 F;LYCEE POLYVALENT ROUVIERE;103,8
831616,00 F;LYCEE POLYVALENT ROUVIERE;96,7
0932123C;LYCEE POLYVALENT SABATIER;77,6
0932123C;LYCEE POLYVALENT SABATIER;76
0932123C;LYCEE POLYVALENT SABATIER;77,7
0932123C;LYCEE POLYVALENT SABATIER LYCEE DES METIERS DE L ESTHETIQUE ET DE LA COIFFURE;77,7
0932123C;LYCEE POLYVALENT SABATIER LYCEE DES METIERS DE L ESTHETIQUE ET DE LA COIFFURE;76
0932123C;LYCEE POLYVALENT SABATIER LYCEE DES METIERS DE L ESTHETIQUE ET DE LA COIFFURE;77,6
0490055U;LYCEE POLYVALENT SADI CARNOT JEAN BERTIN LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;82,8
0490055U;LYCEE POLYVALENT SADI CARNOT JEAN BERTIN LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;83,9
0490055U;LYCEE POLYVALENT SADI CARNOT JEAN BERTIN LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;81,2
0490055U;LYCEE POLYVALENT SADI CARNOT JEAN BERTIN LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;85
0711896A;LYCEE POLYVALENT SAINT CHARLES;83,6
0711896A;LYCEE POLYVALENT SAINT CHARLES;91,1
0711896A;LYCEE POLYVALENT SAINT CHARLES;88,6
0711896A;LYCEE POLYVALENT SAINT CHARLES;82,3
0640057P;LYCEE POLYVALENT SAINT CRICQ;92,9
0640057P;LYCEE POLYVALENT SAINT CRICQ;93,5
0640057P;LYCEE POLYVALENT SAINT CRICQ;96,9
0640057P;LYCEE POLYVALENT SAINT CRICQ;97,7
0010006B;LYCEE POLYVALENT SAINT EXUPERY;81,9
0010006B;LYCEE POLYVALENT SAINT EXUPERY;82,6
0010006B;LYCEE POLYVALENT SAINT EXUPERY;83,5
0010006B;LYCEE POLYVALENT SAINT EXUPERY;83,2
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;81,9
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;82,6
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;83,5
0010006B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE L HOTELLERIE ET DES SERVICES LYCEE DES METIERS D;83,2
0312686B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE LA PRODUCTIQUE ET DE LA MAINTENANCE AERONAUTIQUE;102,3
0312686B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE LA PRODUCTIQUE ET DE LA MAINTENANCE AERONAUTIQUE;97,6
0312686B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE LA PRODUCTIQUE ET DE LA MAINTENANCE AERONAUTIQUE;100,4
0312686B;LYCEE POLYVALENT SAINT EXUPERY LYCEE DES METIERS DE LA PRODUCTIQUE ET DE LA MAINTENANCE AERONAUTIQUE;99,9
9720888H;LYCEE POLYVALENT SAINT JAMES;85,3
9720888H;LYCEE POLYVALENT SAINT JAMES;81,2
9720888H;LYCEE POLYVALENT SAINT JAMES;88,2
9720888H;LYCEE POLYVALENT SAINT JAMES;86,7
0890070T;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;98,7
0890070T;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;94
0890070T;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;97,1
0890070T;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;98,5
0211089V;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;112
0211089V;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;111,8
0211089V;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;112,4
0211089V;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;110,4
0593061G;LYCEE POLYVALENT SAINT LUC LYCEE DES METIERS DE L OPTIQUE DE LA SANTE ET DU SOCIAL;91,5
0593061G;LYCEE POLYVALENT SAINT LUC LYCEE DES METIERS DE L OPTIQUE DE LA SANTE ET DU SOCIAL;92,1
0593061G;LYCEE POLYVALENT SAINT LUC LYCEE DES METIERS DE L OPTIQUE DE LA SANTE ET DU SOCIAL;92,2
0593061G;LYCEE POLYVALENT SAINT LUC LYCEE DES METIERS DE L OPTIQUE DE LA SANTE ET DU SOCIAL;93,6
0383072H;LYCEE POLYVALENT SAINT MARC;104,6
0383072H;LYCEE POLYVALENT SAINT MARC;102,7
0383072H;LYCEE POLYVALENT SAINT MARC;113
0383072H;LYCEE POLYVALENT SAINT MARC;99,8
0941470M;LYCEE POLYVALENT SAMUEL DE CHAMPLAIN;85,7
0941470M;LYCEE POLYVALENT SAMUEL DE CHAMPLAIN;84,5
0941470M;LYCEE POLYVALENT SAMUEL DE CHAMPLAIN (A ABSORBE L'UAI 0941604H EN 2020);85,7
0941470M;LYCEE POLYVALENT SAMUEL DE CHAMPLAIN (A ABSORBE L'UAI 0941604H EN 2020);84,5
0922276Z;LYCEE POLYVALENT SANTOS DUMONT LYCEE DES METIERS DE L HOTELLERIE ET DE LA GESTION DES ENTREPRISES;91,7
0922276Z;LYCEE POLYVALENT SANTOS DUMONT LYCEE DES METIERS DE L HOTELLERIE ET DE LA GESTION DES ENTREPRISES;93,2
0922276Z;LYCEE POLYVALENT SANTOS DUMONT LYCEE DES METIERS DE L HOTELLERIE ET DE LA GESTION DES ENTREPRISES;92
0922276Z;LYCEE POLYVALENT SANTOS DUMONT LYCEE DES METIERS DE L HOTELLERIE ET DE LA GESTION DES ENTREPRISES;91,6
0740047Z;LYCEE POLYVALENT SAVOIE LEMAN LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;103,7
0740047Z;LYCEE POLYVALENT SAVOIE LEMAN LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;108,4
0740047Z;LYCEE POLYVALENT SAVOIE LEMAN LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;108,5
0740047Z;LYCEE POLYVALENT SAVOIE LEMAN LYCEE DES METIERS DE L HOTELLERIE RESTAURATION;109,4
0382170C;LYCEE POLYVALENT SCHNEIDER ELECTRIC;69,8
0382170C;LYCEE POLYVALENT SCHNEIDER ELECTRIC;123,8
0382170C;LYCEE POLYVALENT SCHNEIDER ELECTRIC;117,2
0760058A;LYCEE POLYVALENT SCHUMAN PERRET LYCEE DES METIERS DE L HABITAT DES SCIENCES ET DE L INDUSTRIE;79,5
0760058A;LYCEE POLYVALENT SCHUMAN PERRET LYCEE DES METIERS DE L HABITAT DES SCIENCES ET DE L INDUSTRIE;79,3
0760058A;LYCEE POLYVALENT SCHUMAN PERRET LYCEE DES METIERS DE L HABITAT DES SCIENCES ET DE L INDUSTRIE (A ABS;79,3
0760058A;LYCEE POLYVALENT SCHUMAN PERRET LYCEE DES METIERS DE L HABITAT DES SCIENCES ET DE L INDUSTRIE (A ABS;79,5
0781951X;LYCEE POLYVALENT SEDAR SENGHOR;90,9
0781951X;LYCEE POLYVALENT SEDAR SENGHOR;86,8
0781951X;LYCEE POLYVALENT SEDAR SENGHOR;90,2
0781951X;LYCEE POLYVALENT SEDAR SENGHOR;88,7
0281077U;LYCEE POLYVALENT SILVIA MONFORT LYCEE DES METIERS DES ECHANGES INTERNATIONAUX;97,2
0281077U;LYCEE POLYVALENT SILVIA MONFORT LYCEE DES METIERS DES ECHANGES INTERNATIONAUX;94,4
0281077U;LYCEE POLYVALENT SILVIA MONFORT LYCEE DES METIERS DES ECHANGES INTERNATIONAUX;100
0281077U;LYCEE POLYVALENT SILVIA MONFORT LYCEE DES METIERS DES ECHANGES INTERNATIONAUX;95,7
0772310T;LYCEE POLYVALENT SIMONE SIGNORET;85,8
0772310T;LYCEE POLYVALENT SIMONE SIGNORET;86,9
0772310T;LYCEE POLYVALENT SIMONE SIGNORET;84,4
0190012K;LYCEE POLYVALENT SIMONE VEIL;83,6
0190012K;LYCEE POLYVALENT SIMONE VEIL;82,3
0190012K;LYCEE POLYVALENT SIMONE VEIL;82,1
0342436N;LYCEE POLYVALENT SIMONE VEIL;97,8
0342436N;LYCEE POLYVALENT SIMONE VEIL;97,2
0771940R;LYCEE POLYVALENT SIMONE VEIL;88,5
0771940R;LYCEE POLYVALENT SIMONE VEIL;91,8
0771940R;LYCEE POLYVALENT SIMONE VEIL;86,2
0771940R;LYCEE POLYVALENT SIMONE VEIL;92,4
0750651A;LYCEE POLYVALENT SIMONE WEIL;79,4
0750651A;LYCEE POLYVALENT SIMONE WEIL;82,3
0750651A;LYCEE POLYVALENT SIMONE WEIL;83,3
0212015B;LYCEE POLYVALENT SIMONE WEIL;83,5
0212015B;LYCEE POLYVALENT SIMONE WEIL;84,7
0212015B;LYCEE POLYVALENT SIMONE WEIL;84,8
0212015B;LYCEE POLYVALENT SIMONE WEIL;84,2
0750651A;LYCEE POLYVALENT SIMONE WEIL (A ABSORBE L'UAI 0752701D EN 2019);79,4
0750651A;LYCEE POLYVALENT SIMONE WEIL (A ABSORBE L'UAI 0752701D EN 2019);82,3
0750651A;LYCEE POLYVALENT SIMONE WEIL (A ABSORBE L'UAI 0752701D EN 2019);83,3
0783447Y;LYCEE POLYVALENT SIMONE WEIL LYCEE DES METIERS DU NAUTISME;88,3
0783447Y;LYCEE POLYVALENT SIMONE WEIL LYCEE DES METIERS DU NAUTISME;90
0783447Y;LYCEE POLYVALENT SIMONE WEIL LYCEE DES METIERS DU NAUTISME;88,4
0783447Y;LYCEE POLYVALENT SIMONE WEIL LYCEE DES METIERS DU NAUTISME;88,2
0772332S;LYCEE POLYVALENT SONIA DELAUNAY;94,3
0772332S;LYCEE POLYVALENT SONIA DELAUNAY;90,2
0772332S;LYCEE POLYVALENT SONIA DELAUNAY;94,1
0772332S;LYCEE POLYVALENT SONIA DELAUNAY;92,9
0542208G;LYCEE POLYVALENT STANISLAS;98,1
0542208G;LYCEE POLYVALENT STANISLAS;96,3
0542208G;LYCEE POLYVALENT STANISLAS;97,9
0542208G;LYCEE POLYVALENT STANISLAS;98,2
0670114K;LYCEE POLYVALENT STANISLAS LYCEE DES METIERS;89,9
0670114K;LYCEE POLYVALENT STANISLAS LYCEE DES METIERS;87,9
0670114K;LYCEE POLYVALENT STANISLAS LYCEE DES METIERS;84,3
0670114K;LYCEE POLYVALENT STANISLAS LYCEE DES METIERS;92
9741052A;LYCEE POLYVALENT STELLA;74,4
9741052A;LYCEE POLYVALENT STELLA;74,6
9741052A;LYCEE POLYVALENT STELLA;74,2
9741052A;LYCEE POLYVALENT STELLA;73,8
0932121A;LYCEE POLYVALENT SUGER;74
0932121A;LYCEE POLYVALENT SUGER;74,1
0932121A;LYCEE POLYVALENT SUGER;74,6
0932121A;LYCEE POLYVALENT SUGER;75,4
0932121A;LYCEE POLYVALENT SUGER LYCEE DES METIERS DE L IMAGE ET DU SON;75,4
0932121A;LYCEE POLYVALENT SUGER LYCEE DES METIERS DE L IMAGE ET DU SON;74,6
0932121A;LYCEE POLYVALENT SUGER LYCEE DES METIERS DE L IMAGE ET DU SON;74,1
0932121A;LYCEE POLYVALENT SUGER LYCEE DES METIERS DE L IMAGE ET DU SON;74
0870019Y;LYCEE POLYVALENT SUZANNE VALADON;82,7
0870019Y;LYCEE POLYVALENT SUZANNE VALADON;83,6
0870019Y;LYCEE POLYVALENT SUZANNE VALADON;88,7
0870019Y;LYCEE POLYVALENT SUZANNE VALADON;85,1
0680016Y;LYCEE POLYVALENT THEODORE DECK;94
0680016Y;LYCEE POLYVALENT THEODORE DECK;93,1
0680016Y;LYCEE POLYVALENT THEODORE DECK;93
0680016Y;LYCEE POLYVALENT THEODORE DECK;93,5
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL;87,6
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL;93,4
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL;93,7
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL;88,7
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL LYCEE DES METIERS DU TRAITEMENT DES MATERIEUX ET DE METIERS DE SE;93,7
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL LYCEE DES METIERS DU TRAITEMENT DES MATERIEUX ET DE METIERS DE SE;88,7
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL LYCEE DES METIERS DU TRAITEMENT DES MATERIEUX ET DE METIERS DE SE;93,4
0480688M;LYCEE POLYVALENT THEOPHILE ROUSSEL LYCEE DES METIERS DU TRAITEMENT DES MATERIEUX ET DE METIERS DE SE;87,6
0370016S;LYCEE POLYVALENT THERESE PLANIOL (A ABSORBE L'UAI 0371258S EN 2017);87,5
0370016S;LYCEE POLYVALENT THERESE PLANIOL (A ABSORBE L'UAI 0371258S EN 2017);86,9
0370016S;LYCEE POLYVALENT THERESE PLANIOL (A ABSORBE L'UAI 0371258S EN 2017);90,4
0370016S;LYCEE POLYVALENT THERESE PLANIOL (A ABSORBE L'UAI 0371258S EN 2017);89
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU BOIS DU DECOLLETAGE ET DES SERVICES;87,5
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU BOIS DU DECOLLETAGE ET DES SERVICES;89
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU BOIS DU DECOLLETAGE ET DES SERVICES;90,4
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU BOIS DU DECOLLETAGE ET DES SERVICES;86,9
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU SERVICE ET DE LA PRODUCTION;87,5
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU SERVICE ET DE LA PRODUCTION;89
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU SERVICE ET DE LA PRODUCTION;90,4
0370016S;LYCEE POLYVALENT THERESE PLANIOL LYCEE DES METIERS DU SERVICE ET DE LA PRODUCTION;86,9
770942,00 F;LYCEE POLYVALENT THIBAUT DE CHAMPAGNE;81,8
770942,00 F;LYCEE POLYVALENT THIBAUT DE CHAMPAGNE;83,4
770942,00 F;LYCEE POLYVALENT THIBAUT DE CHAMPAGNE;85,4
770942,00 F;LYCEE POLYVALENT THIBAUT DE CHAMPAGNE;81,5
0870056N;LYCEE POLYVALENT TURGOT;88,9
0870056N;LYCEE POLYVALENT TURGOT;88,1
0870056N;LYCEE POLYVALENT TURGOT;87,1
0870056N;LYCEE POLYVALENT TURGOT;84,6
0770918E;LYCEE POLYVALENT URUGUAY FRANCE LYCEE DES METIERS DU SOCIAL ET DE LA SANTE;89,7
0770918E;LYCEE POLYVALENT URUGUAY FRANCE LYCEE DES METIERS DU SOCIAL ET DE LA SANTE;87,1
0770918E;LYCEE POLYVALENT URUGUAY FRANCE LYCEE DES METIERS DU SOCIAL ET DE LA SANTE;86,1
0770918E;LYCEE POLYVALENT URUGUAY FRANCE LYCEE DES METIERS DU SOCIAL ET DE LA SANTE;88,6
0333273D;LYCEE POLYVALENT VACLAV HAVEL;96,4
0333273D;LYCEE POLYVALENT VACLAV HAVEL;91,9
0333273D;LYCEE POLYVALENT VACLAV HAVEL;94,2
0333273D;LYCEE POLYVALENT VACLAV HAVEL;95,2
0840918S;LYCEE POLYVALENT VAL DE DURANCE;93,2
0840918S;LYCEE POLYVALENT VAL DE DURANCE;87,9
0840918S;LYCEE POLYVALENT VAL DE DURANCE;92,4
0840918S;LYCEE POLYVALENT VAL DE DURANCE;90,1
0470020S;LYCEE POLYVALENT VAL DE GARONNE LYCEE DES METIERS DES TECHNIQUES INNOVANTES;86,4
0470020S;LYCEE POLYVALENT VAL DE GARONNE LYCEE DES METIERS DES TECHNIQUES INNOVANTES;84,8
0470020S;LYCEE POLYVALENT VAL DE GARONNE LYCEE DES METIERS DES TECHNIQUES INNOVANTES;82,9
0470020S;LYCEE POLYVALENT VAL DE GARONNE LYCEE DES METIERS DES TECHNIQUES INNOVANTES;84,7
0410899E;LYCEE POLYVALENT VAL DE LOIRE;99
0410899E;LYCEE POLYVALENT VAL DE LOIRE;95,9
0410899E;LYCEE POLYVALENT VAL DE LOIRE;98,7
0410899E;LYCEE POLYVALENT VAL DE LOIRE;96,6
0410899E;LYCEE POLYVALENT VAL DE LOIRE LYCEE DES METIERS DE L HOTELLERIE ET DE TOURISME DU VAL DE LOIRE;98,7
0410899E;LYCEE POLYVALENT VAL DE LOIRE LYCEE DES METIERS DE L HOTELLERIE ET DE TOURISME DU VAL DE LOIRE;95,9
0410899E;LYCEE POLYVALENT VAL DE LOIRE LYCEE DES METIERS DE L HOTELLERIE ET DE TOURISME DU VAL DE LOIRE;96,6
0410899E;LYCEE POLYVALENT VAL DE LOIRE LYCEE DES METIERS DE L HOTELLERIE ET DE TOURISME DU VAL DE LOIRE;99
0590122M;LYCEE POLYVALENT VALENTINE LABBE;74,6
0590122M;LYCEE POLYVALENT VALENTINE LABBE;75,9
0590122M;LYCEE POLYVALENT VALENTINE LABBE;76,8
0590122M;LYCEE POLYVALENT VALENTINE LABBE;76,7
0590122M;LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLO;75,9
0590122M;LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLO;76,8
0590122M;LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLO;76,7
0590122M;LYCEE POLYVALENT VALENTINE LABBE LYCEE DES METIERS DE LA BIOLOGIE DE LA BIOCHIMIE ET DES BIOTECHNOLO;74,6
0031082K;LYCEE POLYVALENT VALERY LARBAUD;88,9
0031082K;LYCEE POLYVALENT VALERY LARBAUD;87,9
0031082K;LYCEE POLYVALENT VALERY LARBAUD;88,4
0031082K;LYCEE POLYVALENT VALERY LARBAUD;87,8
290012,00 F;LYCEE POLYVALENT VAUBAN;87,5
290012,00 F;LYCEE POLYVALENT VAUBAN;92,5
290012,00 F;LYCEE POLYVALENT VAUBAN;89,6
290012,00 F;LYCEE POLYVALENT VAUBAN;89,4
0623981R;LYCEE POLYVALENT VAUBAN;74,2
0623981R;LYCEE POLYVALENT VAUBAN;72,8
0623981R;LYCEE POLYVALENT VAUBAN;74,9
0623981R;LYCEE POLYVALENT VAUBAN;75,6
0380033E;LYCEE POLYVALENT VAUCANSON;89,9
0380033E;LYCEE POLYVALENT VAUCANSON;92,4
0380033E;LYCEE POLYVALENT VAUCANSON;91,7
0380033E;LYCEE POLYVALENT VAUCANSON;88,6
0781984H;LYCEE POLYVALENT VAUCANSON LYCEE DES METIERS DU GENIE ELECTRONIQUE DU COMMERCE ET DE L AIDE A LA PER;78,6
0781984H;LYCEE POLYVALENT VAUCANSON LYCEE DES METIERS DU GENIE ELECTRONIQUE DU COMMERCE ET DE L AIDE A LA PER;78,3
0130003H;LYCEE POLYVALENT VAUVENARGUES;92,2
0130003H;LYCEE POLYVALENT VAUVENARGUES;93,5
0130003H;LYCEE POLYVALENT VAUVENARGUES;92,6
0130003H;LYCEE POLYVALENT VAUVENARGUES (A ABSORBE L'UAI 0130170P EN 2019);92,2
0130003H;LYCEE POLYVALENT VAUVENARGUES (A ABSORBE L'UAI 0130170P EN 2019);93,5
0130003H;LYCEE POLYVALENT VAUVENARGUES (A ABSORBE L'UAI 0130170P EN 2019);92,6
0650005C;LYCEE POLYVALENT VICTOR DURUY LYCEE DES METIERS DES SERVICES A LA PERSONNE ET DE L INDUSTRIE EN MONT;93,9
0650005C;LYCEE POLYVALENT VICTOR DURUY LYCEE DES METIERS DES SERVICES A LA PERSONNE ET DE L INDUSTRIE EN MONT;94,9
0650005C;LYCEE POLYVALENT VICTOR DURUY LYCEE DES METIERS DES SERVICES A LA PERSONNE ET DE L INDUSTRIE EN MONT;92,3
0342090M;LYCEE POLYVALENT VICTOR HUGO;86,4
0342090M;LYCEE POLYVALENT VICTOR HUGO;90,1
0342090M;LYCEE POLYVALENT VICTOR HUGO;87
0342090M;LYCEE POLYVALENT VICTOR HUGO;86,5
0330126H;LYCEE POLYVALENT VICTOR LOUIS;87,2
0330126H;LYCEE POLYVALENT VICTOR LOUIS;86,1
0330126H;LYCEE POLYVALENT VICTOR LOUIS;91,6
0330126H;LYCEE POLYVALENT VICTOR LOUIS;92,3
0070021K;LYCEE POLYVALENT VINCENT D INDY;85,2
0070021K;LYCEE POLYVALENT VINCENT D INDY;85,6
0070021K;LYCEE POLYVALENT VINCENT D INDY;84
0070021K;LYCEE POLYVALENT VINCENT D INDY;84,1
0781859X;LYCEE POLYVALENT VINCENT VAN GOGH;94
0781859X;LYCEE POLYVALENT VINCENT VAN GOGH;94,9
0782587N;LYCEE POLYVALENT VIOLLET LE DUC LYCEE DES METIERS DE L HABITAT ET DU DEVELOPPEMENT DURABLE;103,9
0782587N;LYCEE POLYVALENT VIOLLET LE DUC LYCEE DES METIERS DE L HABITAT ET DU DEVELOPPEMENT DURABLE;102,1
0782587N;LYCEE POLYVALENT VIOLLET LE DUC LYCEE DES METIERS DE L HABITAT ET DU DEVELOPPEMENT DURABLE;104,6
0782587N;LYCEE POLYVALENT VIOLLET LE DUC LYCEE DES METIERS DE L HABITAT ET DU DEVELOPPEMENT DURABLE;104,1
0010032E;LYCEE POLYVALENT XAVIER BICHAT;82,5
0010032E;LYCEE POLYVALENT XAVIER BICHAT;77,8
0010032E;LYCEE POLYVALENT XAVIER BICHAT;78,3
0010032E;LYCEE POLYVALENT XAVIER BICHAT;81,7
71351,00 F;LYCEE POLYVALENT XAVIER MALLET;79,3
71351,00 F;LYCEE POLYVALENT XAVIER MALLET;78,9
71351,00 F;LYCEE POLYVALENT XAVIER MALLET;81,1
0250043L;LYCEE POLYVALENT XAVIER MARMIER;88,7
0250043L;LYCEE POLYVALENT XAVIER MARMIER;87,2
0250043L;LYCEE POLYVALENT XAVIER MARMIER;88,3
